Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
BYU,2,1:45,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits,29,-,34
,,,Ball Delivered,,,
,,,25 Emma Calvert > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,1:45,Shot > Emma Calvert > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,1:45,Misc Stat > Assist > Maria Albiero,,,
UWV,2,1:25,21 Ariana Gray > Cut > Flash > Miss 2 Pts,29,-,34
,,1:25,Shot > Ariana Gray > Any Type > 2 Point Attempt > Miss 2 Pts,,,
UWV,2,1:23,12 Esmery Martinez > Offensive Rebound > Long > Scoring Attempt > At Basket > Foul,29,-,34
,,1:23,Misc Stat > Offensive Rebound > Esmery Martinez,,,
,,1:23,Player Movement > Sub Out > Away Player > Paisley Johnson,,,
,,1:23,Player Movement > Sub Out > Home Player > Janaiya Quinerly,,,
,,1:23,Player Movement > Sub In > Home Player > Madisen Smith,,,
,,1:23,Player Movement > Sub Out > Away Player > Tegan Graham,,,
,,1:23,Player Movement > Sub In > Away Player > Lauren Gustin,,,
,,1:23,Personal Foul > Defensive - Any > Tegan Graham,,,
,,1:23,Player Movement > Sub In > Away Player > Nani Falatea,,,
UWV,2,1:23,12 Esmery Martinez > Non Possession > Free Throw,29,-,35
,,1:23,Shot > Esmery Martinez > Free Throw > Made,,,
UWV,2,1:23,12 Esmery Martinez > Non Possession > Free Throw,29,-,35
,,1:23,Shot > Esmery Martinez > Free Throw > Missed,,,
,,1:21,Misc Stat > Defensive Rebound > Emma Calvert,,,
BYU,2,1:07,2 Shaylee Gonzales > Spot-Up > Drives Left > Turnover,29,-,35
,,1:07,Turnover > Any Type > Shaylee Gonzales,,,
UWV,2,0:49,24 Savannah Samuel > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,29,-,35
,,0:49,Shot > Savannah Samuel > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UWV,2,0:44,12 Esmery Martinez > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,29,-,35
,,0:44,Shot > Esmery Martinez > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:44,Misc Stat > Block > Emma Calvert,,,
,,0:37,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,0:28,25 Emma Calvert > No Play Type > Turnover,29,-,35
,,0:28,Personal Foul > Offensive Foul - Player Control > Emma Calvert,,,
,,0:28,Turnover > Any Type > Emma Calvert,,,
UWV,2,0:03,30 Madisen Smith > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,29,-,35
,,,Ball Delivered,,,
,,,12 Esmery Martinez > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,0:03,Shot > Esmery Martinez > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:03,Misc Stat > Block > Emma Calvert,,,
UWV,2,0:01,21 Ariana Gray > Offensive Rebound > Long > Run Offense,29,-,35
,,0:01,Misc Stat > Offensive Rebound > Ariana Gray,,,
UWV,2,0:01,24 Savannah Samuel > Cut > Basket > Make 2 Pts,29,-,37
